Description,Offense,Punishment,Section,preprocessed_description,preprocessed_offense
"Description of IPC Section 386
According to section 386 of Indian penal code, Whoever commits extortion by putting any person in fear of death or of grievous hurt to that person or to any other, shall be punished with imprisonment of either description for a term which may extend to ten years, and shall also be liable to fine.


IPC 386 in Simple Words
According to section 386 of Indian penal code, Whoever commits extortion by putting any person in fear of death or of grievous hurt to that person or to any other, shall be punished with imprisonment of either description for a term which may extend to ten years, and shall also be liable to fine.",extortion by putting a person in fear of death or grievous hurt,10 Years + Fine,IPC_386,"['description', 'ipc', 'section', '386', 'according', 'section', '386', 'indian', 'penal', 'code', ',', 'whoever', 'commits', 'extortion', 'putting', 'person', 'fear', 'death', 'grievous', 'hurt', 'person', ',', 'shall', 'punished', 'imprisonment', 'either', 'description', 'term', 'may', 'extend', 'ten', 'years', ',', 'shall', 'also', 'liable', 'fine', '.', 'ipc', '386', 'simple', 'words', 'according', 'section', '386', 'indian', 'penal', 'code', ',', 'whoever', 'commits', 'extortion', 'putting', 'person', 'fear', 'death', 'grievous', 'hurt', 'person', ',', 'shall', 'punished', 'imprisonment', 'either', 'description', 'term', 'may', 'extend', 'ten', 'years', ',', 'shall', 'also', 'liable', 'fine', '.']","['extortion', 'putting', 'person', 'fear', 'death', 'grievous', 'hurt']"
"Description of IPC Section 387
According to section 387 of Indian penal code, Whoever in order to the committing of extortion, puts or attempts to put any person in fear of death or of grievous hurt to that person or to any other, shall be punished with imprisonment of either description for a term which may extend to seven years, and shall also be liable to fine.


IPC 387 in Simple Words
According to section 387 of the Indian Penal Code, if someone attempts to extort from another person by putting them in fear of death or grievous hurt, they can be punished with imprisonment up to seven years and may also be fined.",Putting or attempting to put a person in fear of death or grievous hurt in order to commit extortion,7 Years + Fine,IPC_387,"['description', 'ipc', 'section', '387', 'according', 'section', '387', 'indian', 'penal', 'code', ',', 'whoever', 'order', 'committing', 'extortion', ',', 'puts', 'attempts', 'put', 'person', 'fear', 'death', 'grievous', 'hurt', 'person', ',', 'shall', 'punished', 'imprisonment', 'either', 'description', 'term', 'may', 'extend', 'seven', 'years', ',', 'shall', 'also', 'liable', 'fine', '.', 'ipc', '387', 'simple', 'words', 'according', 'section', '387', 'indian', 'penal', 'code', ',', 'someone', 'attempts', 'extort', 'another', 'person', 'putting', 'fear', 'death', 'grievous', 'hurt', ',', 'punished', 'imprisonment', 'seven', 'years', 'may', 'also', 'fined', '.']","['putting', 'attempting', 'put', 'person', 'fear', 'death', 'grievous', 'hurt', 'order', 'commit', 'extortion']"
"Description of IPC Section 388
According to section 388 of Indian penal code, Whoever commits extortion by putting any person in fear of an accusation against that person or any other, of having committed or attempted to commit any offence punishable with death, or with imprisonment for life, or with imprisonment for a term which may extend to ten years, or of having attempted to induce any other person to commit such offence, shall shall be punished with imprisonment of either description for a term which may extend to ten years, and shall also be liable to fine;
and, if the offence be one punishable under section 377 of this Code, may be punished with imprisonment for life.


IPC 388 in Simple Words
According to section 388 of the Indian Penal Code, if someone commits extortion by putting another person in fear of false accusations related to serious crimes, they can be punished with imprisonment up to ten years, and if the offense is under section 377, they may be punished with life imprisonment.","Extortion by threat of accusation of an offence punishable with death, imprisonment for life, or imprisonment for 10 Years.",10 Years + Fine.,IPC_388,"['description', 'ipc', 'section', '388', 'according', 'section', '388', 'indian', 'penal', 'code', ',', 'whoever', 'commits', 'extortion', 'putting', 'person', 'fear', 'accusation', 'person', ',', 'committed', 'attempted', 'commit', 'offence', 'punishable', 'death', ',', 'imprisonment', 'life', ',', 'imprisonment', 'term', 'may', 'extend', 'ten', 'years', ',', 'attempted', 'induce', 'person', 'commit', 'offence', ',', 'shall', 'shall', 'punished', 'imprisonment', 'either', 'description', 'term', 'may', 'extend', 'ten', 'years', ',', 'shall', 'also', 'liable', 'fine', ';', ',', 'offence', 'one', 'punishable', 'section', '377', 'code', ',', 'may', 'punished', 'imprisonment', 'life', '.', 'ipc', '388', 'simple', 'words', 'according', 'section', '388', 'indian', 'penal', 'code', ',', 'someone', 'commits', 'extortion', 'putting', 'another', 'person', 'fear', 'false', 'accusations', 'related', 'serious', 'crimes', ',', 'punished', 'imprisonment', 'ten', 'years', ',', 'offense', 'section', '377', ',', 'may', 'punished', 'life', 'imprisonment', '.']","['extortion', 'threat', 'accusation', 'offence', 'punishable', 'death', ',', 'imprisonment', 'life', ',', 'imprisonment', '10', 'years', '.']"
"Description of IPC Section 389
According to section 389 of Indian penal code, Whoever, in order to the committing of extortion, puts or attempts to put any person in fear of an accusation, against that person or any other, of having committed, or attempted to commit, an offence punishable with death or with imprisonment for life, or with imprisonment for a term which may extend to ten years, shall be punished with imprisonment of either description for a term which may extend to ten years, and shall also be liable to fine;
and, if the offence be punishable under section 377 of this Code, may be punished with imprisonment for life.


IPC 389 in Simple Words
According to section 389 of the Indian Penal Code, if someone attempts to extort by putting a person in fear of false accusations related to serious crimes, they can be punished with imprisonment up to ten years, and if the offense is under section 377, they may be punished with life imprisonment.","Putting a person in fear of accusation of an offence punishable with death, imprisonment for life, or imprisonment for 10 Years in order to commit extortion.",10 Years + Fine,IPC_389,"['description', 'ipc', 'section', '389', 'according', 'section', '389', 'indian', 'penal', 'code', ',', 'whoever', ',', 'order', 'committing', 'extortion', ',', 'puts', 'attempts', 'put', 'person', 'fear', 'accusation', ',', 'person', ',', 'committed', ',', 'attempted', 'commit', ',', 'offence', 'punishable', 'death', 'imprisonment', 'life', ',', 'imprisonment', 'term', 'may', 'extend', 'ten', 'years', ',', 'shall', 'punished', 'imprisonment', 'either', 'description', 'term', 'may', 'extend', 'ten', 'years', ',', 'shall', 'also', 'liable', 'fine', ';', ',', 'offence', 'punishable', 'section', '377', 'code', ',', 'may', 'punished', 'imprisonment', 'life', '.', 'ipc', '389', 'simple', 'words', 'according', 'section', '389', 'indian', 'penal', 'code', ',', 'someone', 'attempts', 'extort', 'putting', 'person', 'fear', 'false', 'accusations', 'related', 'serious', 'crimes', ',', 'punished', 'imprisonment', 'ten', 'years', ',', 'offense', 'section', '377', ',', 'may', 'punished', 'life', 'imprisonment', '.']","['putting', 'person', 'fear', 'accusation', 'offence', 'punishable', 'death', ',', 'imprisonment', 'life', ',', 'imprisonment', '10', 'years', 'order', 'commit', 'extortion', '.']"
"Description of IPC Section 390
According to section 390 of Indian penal code, In all robbery there is either theft or extortion.
When theft is robbery — Theft is “robbery” if, in order to the committing of the theft, or in committing the theft, or in carrying away or attempting to carry away property obtained by the theft, the offender, for that end, voluntarily causes or attempts to cause to any person death or hurt or wrongful restraint, or fear of instant death or of instant hurt, or of instant wrongful restraint.
When extortion is robbery — Extortion is “robbery” if the offender, at the time of committing the extortion, is in the presence of the person put in fear, and commits the extortion by putting that person in fear of instant death, of instant hurt, or of instant wrongful restraint to that person or to some other person, and, by so putting in fear, induces the person, so put in fear then and there to deliver up the thing extorted.


IPC 390 in Simple Words
In the Indian Penal Code, robbery is defined as theft or extortion accompanied by causing fear of instant harm or wrongful restraint to a person.",,,IPC_390,"['description', 'ipc', 'section', '390', 'according', 'section', '390', 'indian', 'penal', 'code', ',', 'robbery', 'either', 'theft', 'extortion', '.', 'theft', 'robbery', '—', 'theft', '“', 'robbery', '”', ',', 'order', 'committing', 'theft', ',', 'committing', 'theft', ',', 'carrying', 'away', 'attempting', 'carry', 'away', 'property', 'obtained', 'theft', ',', 'offender', ',', 'end', ',', 'voluntarily', 'causes', 'attempts', 'cause', 'person', 'death', 'hurt', 'wrongful', 'restraint', ',', 'fear', 'instant', 'death', 'instant', 'hurt', ',', 'instant', 'wrongful', 'restraint', '.', 'extortion', 'robbery', '—', 'extortion', '“', 'robbery', '”', 'offender', ',', 'time', 'committing', 'extortion', ',', 'presence', 'person', 'put', 'fear', ',', 'commits', 'extortion', 'putting', 'person', 'fear', 'instant', 'death', ',', 'instant', 'hurt', ',', 'instant', 'wrongful', 'restraint', 'person', 'person', ',', ',', 'putting', 'fear', ',', 'induces', 'person', ',', 'put', 'fear', 'deliver', 'thing', 'extorted', '.', 'ipc', '390', 'simple', 'words', 'indian', 'penal', 'code', ',', 'robbery', 'defined', 'theft', 'extortion', 'accompanied', 'causing', 'fear', 'instant', 'harm', 'wrongful', 'restraint', 'person', '.']",[]
"Description of IPC Section 391
According to section 391 of Indian penal code, When five or more persons conjointly commit or attempt to commit a robbery, or where the whole number of persons conjointly committing or attempting to commit a robbery, and persons present and aiding such commission or attempt, amount to five or more, every person so committing, attempting or aiding, is said to commit “dacoity”.


IPC 391 in Simple Words
If five or more people together commit or attempt to commit a robbery, or if the total number of people involved (including those aiding) is five or more, it is called ""dacoity"" in the Indian Penal Code.",,,IPC_391,"['description', 'ipc', 'section', '391', 'according', 'section', '391', 'indian', 'penal', 'code', ',', 'five', 'persons', 'conjointly', 'commit', 'attempt', 'commit', 'robbery', ',', 'whole', 'number', 'persons', 'conjointly', 'committing', 'attempting', 'commit', 'robbery', ',', 'persons', 'present', 'aiding', 'commission', 'attempt', ',', 'amount', 'five', ',', 'every', 'person', 'committing', ',', 'attempting', 'aiding', ',', 'said', 'commit', '“', 'dacoity', '”', '.', 'ipc', '391', 'simple', 'words', 'five', 'people', 'together', 'commit', 'attempt', 'commit', 'robbery', ',', 'total', 'number', 'people', 'involved', '(', 'including', 'aiding', ')', 'five', ',', 'called', '``', 'dacoity', ""''"", 'indian', 'penal', 'code', '.']",[]
"Description of IPC Section 392
According to section 392 of Indian penal code, Whoever commits robbery shall be punished with rigorous imprisonment for a term which may extend to ten years, and shall also be liable to fine; and, if the robbery be committed on the highway between sunset and sunrise, the imprisonment may be extended to fourteen years.


IPC 392 in Simple Words
If someone commits robbery, they may face rigorous imprisonment for up to ten years and a fine; if it happens on a highway between sunset and sunrise, the imprisonment may be extended to fourteen years.",Robbery,Rigorous Imprisonment for 10 Years + Fine,IPC_392,"['description', 'ipc', 'section', '392', 'according', 'section', '392', 'indian', 'penal', 'code', ',', 'whoever', 'commits', 'robbery', 'shall', 'punished', 'rigorous', 'imprisonment', 'term', 'may', 'extend', 'ten', 'years', ',', 'shall', 'also', 'liable', 'fine', ';', ',', 'robbery', 'committed', 'highway', 'sunset', 'sunrise', ',', 'imprisonment', 'may', 'extended', 'fourteen', 'years', '.', 'ipc', '392', 'simple', 'words', 'someone', 'commits', 'robbery', ',', 'may', 'face', 'rigorous', 'imprisonment', 'ten', 'years', 'fine', ';', 'happens', 'highway', 'sunset', 'sunrise', ',', 'imprisonment', 'may', 'extended', 'fourteen', 'years', '.']",['robbery']
"Description of IPC Section 393
According to section 393 of Indian penal code, Whoever attempts to commit robbery shall be punished with rigorous imprisonment for a term which may extend to seven years, and shall also be liable to fine.


IPC 393 in Simple Words
If someone tries to commit robbery, they may be punished with rigorous imprisonment for up to seven years and may also face a fine.",Attempt to commit robbery,Rigorous Imprisonment for 7 Years + Fine,IPC_393,"['description', 'ipc', 'section', '393', 'according', 'section', '393', 'indian', 'penal', 'code', ',', 'whoever', 'attempts', 'commit', 'robbery', 'shall', 'punished', 'rigorous', 'imprisonment', 'term', 'may', 'extend', 'seven', 'years', ',', 'shall', 'also', 'liable', 'fine', '.', 'ipc', '393', 'simple', 'words', 'someone', 'tries', 'commit', 'robbery', ',', 'may', 'punished', 'rigorous', 'imprisonment', 'seven', 'years', 'may', 'also', 'face', 'fine', '.']","['attempt', 'commit', 'robbery']"
"Description of IPC Section 394
According to section 394 of Indian penal code, If any person, in committing or in attempting to commit robbery, voluntarily causes hurt, such person, and any other person jointly concerned in committing or attempting to commit such robbery, shall be punished with imprisonment for life, or with rigorous imprisonment for a term which may extend to ten years, and shall also be liable to fine.


IPC 394 in Simple Words
If anyone, while committing or attempting robbery, intentionally causes hurt, that person and others involved in the act shall be punished with either life imprisonment or rigorous imprisonment up to ten years, and may also face a fine.","Person voluntarily causing hurt in committing or attempting to commit robbery, or any other person jointly concerned in such robbery",Imprisonment for Life or Rigorous Imprisonment for 10 Years + Fine,IPC_394,"['description', 'ipc', 'section', '394', 'according', 'section', '394', 'indian', 'penal', 'code', ',', 'person', ',', 'committing', 'attempting', 'commit', 'robbery', ',', 'voluntarily', 'causes', 'hurt', ',', 'person', ',', 'person', 'jointly', 'concerned', 'committing', 'attempting', 'commit', 'robbery', ',', 'shall', 'punished', 'imprisonment', 'life', ',', 'rigorous', 'imprisonment', 'term', 'may', 'extend', 'ten', 'years', ',', 'shall', 'also', 'liable', 'fine', '.', 'ipc', '394', 'simple', 'words', 'anyone', ',', 'committing', 'attempting', 'robbery', ',', 'intentionally', 'causes', 'hurt', ',', 'person', 'others', 'involved', 'act', 'shall', 'punished', 'either', 'life', 'imprisonment', 'rigorous', 'imprisonment', 'ten', 'years', ',', 'may', 'also', 'face', 'fine', '.']","['person', 'voluntarily', 'causing', 'hurt', 'committing', 'attempting', 'commit', 'robbery', ',', 'person', 'jointly', 'concerned', 'robbery']"
"Description of IPC Section 395
According to section 395 of Indian penal code, Whoever commits dacoity shall be punished with imprisonment for life, or with rigorous imprisonment for a term which may extend to ten years, and shall also be liable to fine.


IPC 395 in Simple Words
Whoever commits dacoity shall be punished with either life imprisonment or rigorous imprisonment up to ten years, and may also face a fine.",Dacoity,Imprisonment for Life or Rigorous Imprisonment for 10 Years + Fine,IPC_395,"['description', 'ipc', 'section', '395', 'according', 'section', '395', 'indian', 'penal', 'code', ',', 'whoever', 'commits', 'dacoity', 'shall', 'punished', 'imprisonment', 'life', ',', 'rigorous', 'imprisonment', 'term', 'may', 'extend', 'ten', 'years', ',', 'shall', 'also', 'liable', 'fine', '.', 'ipc', '395', 'simple', 'words', 'whoever', 'commits', 'dacoity', 'shall', 'punished', 'either', 'life', 'imprisonment', 'rigorous', 'imprisonment', 'ten', 'years', ',', 'may', 'also', 'face', 'fine', '.']",['dacoity']
"Description of IPC Section 396
According to section 396 of Indian penal code, If any one of five or more persons, who are conjointly committing dacoity, commits murder in so committing dacoity, every one of those persons shall be punished with death, or imprisonment for life, or rigorous imprisonment for a term which may extend to ten years, and shall also be liable to fine.


IPC 396 in Simple Words
If any one of five or more persons involved in dacoity commits murder during the act, all of them will be punished with death, life imprisonment, or rigorous imprisonment up to ten years, and may also face a fine.",Murder in Dacoity,"Death, Imprisonment for Life, or Rigorous Imprisonment for 10 Years + Fine",IPC_396,"['description', 'ipc', 'section', '396', 'according', 'section', '396', 'indian', 'penal', 'code', ',', 'one', 'five', 'persons', ',', 'conjointly', 'committing', 'dacoity', ',', 'commits', 'murder', 'committing', 'dacoity', ',', 'every', 'one', 'persons', 'shall', 'punished', 'death', ',', 'imprisonment', 'life', ',', 'rigorous', 'imprisonment', 'term', 'may', 'extend', 'ten', 'years', ',', 'shall', 'also', 'liable', 'fine', '.', 'ipc', '396', 'simple', 'words', 'one', 'five', 'persons', 'involved', 'dacoity', 'commits', 'murder', 'act', ',', 'punished', 'death', ',', 'life', 'imprisonment', ',', 'rigorous', 'imprisonment', 'ten', 'years', ',', 'may', 'also', 'face', 'fine', '.']","['murder', 'dacoity']"
"Description of IPC Section 397
According to section 397 of Indian penal code, If, at the time of committing robbery or dacoity, the offender uses any deadly weapon, or causes grievous hurt to any person, so attempts to cause death or grievous hurt to any person, the imprisonment with which such offender shall be punished shall not be less than seven years.


IPC 397 in Simple Words
If a person commits robbery or dacoity while using a deadly weapon or causing grievous hurt, they will be punished with imprisonment of at least seven years.","Robber or Dacoity, with attempt to cause death or grievous hurt",Rigorous Imprisonment for not less than 7 Years,IPC_397,"['description', 'ipc', 'section', '397', 'according', 'section', '397', 'indian', 'penal', 'code', ',', ',', 'time', 'committing', 'robbery', 'dacoity', ',', 'offender', 'uses', 'deadly', 'weapon', ',', 'causes', 'grievous', 'hurt', 'person', ',', 'attempts', 'cause', 'death', 'grievous', 'hurt', 'person', ',', 'imprisonment', 'offender', 'shall', 'punished', 'shall', 'less', 'seven', 'years', '.', 'ipc', '397', 'simple', 'words', 'person', 'commits', 'robbery', 'dacoity', 'using', 'deadly', 'weapon', 'causing', 'grievous', 'hurt', ',', 'punished', 'imprisonment', 'least', 'seven', 'years', '.']","['robber', 'dacoity', ',', 'attempt', 'cause', 'death', 'grievous', 'hurt']"
"Description of IPC Section 398
According to section 398 of Indian penal code, If, at the time of attempting to commit robbery or dacoity, the offender is armed with any deadly weapon, the imprisonment with which such offender shall be punished shall not be less than seven years.


IPC 398 in Simple Words
If a person attempts to commit robbery or dacoity and is armed with a deadly weapon, they will be punished with imprisonment of at least seven years.",Attempt to commit robbery or Dacoity when armed with deadly weapons,Rigorous Imprisonment for not less than 7 Years,IPC_398,"['description', 'ipc', 'section', '398', 'according', 'section', '398', 'indian', 'penal', 'code', ',', ',', 'time', 'attempting', 'commit', 'robbery', 'dacoity', ',', 'offender', 'armed', 'deadly', 'weapon', ',', 'imprisonment', 'offender', 'shall', 'punished', 'shall', 'less', 'seven', 'years', '.', 'ipc', '398', 'simple', 'words', 'person', 'attempts', 'commit', 'robbery', 'dacoity', 'armed', 'deadly', 'weapon', ',', 'punished', 'imprisonment', 'least', 'seven', 'years', '.']","['attempt', 'commit', 'robbery', 'dacoity', 'armed', 'deadly', 'weapons']"
"Description of IPC Section 399
According to section 399 of Indian penal code, Whoever makes any preparation for committing dacoity, shall be punished with rigorous imprisonment for a term which may extend to ten years, and shall also be liable to fine.


IPC 399 in Simple Words
If someone prepares to commit dacoity, they can be punished with rigorous imprisonment for up to ten years and fined.",Making preparation to commit Dacoity,Rigorous Imprisonment for 10 Years + Fine,IPC_399,"['description', 'ipc', 'section', '399', 'according', 'section', '399', 'indian', 'penal', 'code', ',', 'whoever', 'makes', 'preparation', 'committing', 'dacoity', ',', 'shall', 'punished', 'rigorous', 'imprisonment', 'term', 'may', 'extend', 'ten', 'years', ',', 'shall', 'also', 'liable', 'fine', '.', 'ipc', '399', 'simple', 'words', 'someone', 'prepares', 'commit', 'dacoity', ',', 'punished', 'rigorous', 'imprisonment', 'ten', 'years', 'fined', '.']","['making', 'preparation', 'commit', 'dacoity']"
"Description of IPC Section 400
According to section 400 of Indian penal code, Whoever, at any time after the passing of this Act, shall belong to a gang of persons associated for the purpose of habitually committing dacoity, shall be punished with imprisonment for life, or with rigorous imprisonment for a term which may extend to ten years, and shall also be liable to fine.


IPC 400 in Simple Words
If someone belongs to a gang of people who are associated for the habitual purpose of committing dacoity, they can be punished with imprisonment for life or rigorous imprisonment for up to ten years, and fined.",Belonging to a gang of persons associated for the purpose of habitually committing Dacoity,Imprisonment for Life or Rigorous Imprisonment for 10 Years + Fine,IPC_400,"['description', 'ipc', 'section', '400', 'according', 'section', '400', 'indian', 'penal', 'code', ',', 'whoever', ',', 'time', 'passing', 'act', ',', 'shall', 'belong', 'gang', 'persons', 'associated', 'purpose', 'habitually', 'committing', 'dacoity', ',', 'shall', 'punished', 'imprisonment', 'life', ',', 'rigorous', 'imprisonment', 'term', 'may', 'extend', 'ten', 'years', ',', 'shall', 'also', 'liable', 'fine', '.', 'ipc', '400', 'simple', 'words', 'someone', 'belongs', 'gang', 'people', 'associated', 'habitual', 'purpose', 'committing', 'dacoity', ',', 'punished', 'imprisonment', 'life', 'rigorous', 'imprisonment', 'ten', 'years', ',', 'fined', '.']","['belonging', 'gang', 'persons', 'associated', 'purpose', 'habitually', 'committing', 'dacoity']"
"Description of IPC Section 401
According to section 401 of Indian penal code, Whoever, at any time after the passing of this Act, shall belong to any wandering or other gang of persons associated for the purpose of habitually committing theft or robbery, and not being a gang of thugs or dacoits, shall be punished with rigorous imprisonment for a term which may extend to seven years, and shall also be liable to fine.


IPC 401 in Simple Words
If someone belongs to a wandering or other gang associated with the habitual purpose of committing theft or robbery (not being a gang of thugs or dacoits), they can be punished with rigorous imprisonment for up to seven years and fined.",Belonging to a wandering gang of persons associated for the purpose of habitually committing thefts,Rigorous Imprisonment for 7 Years + Fine,IPC_401,"['description', 'ipc', 'section', '401', 'according', 'section', '401', 'indian', 'penal', 'code', ',', 'whoever', ',', 'time', 'passing', 'act', ',', 'shall', 'belong', 'wandering', 'gang', 'persons', 'associated', 'purpose', 'habitually', 'committing', 'theft', 'robbery', ',', 'gang', 'thugs', 'dacoits', ',', 'shall', 'punished', 'rigorous', 'imprisonment', 'term', 'may', 'extend', 'seven', 'years', ',', 'shall', 'also', 'liable', 'fine', '.', 'ipc', '401', 'simple', 'words', 'someone', 'belongs', 'wandering', 'gang', 'associated', 'habitual', 'purpose', 'committing', 'theft', 'robbery', '(', 'gang', 'thugs', 'dacoits', ')', ',', 'punished', 'rigorous', 'imprisonment', 'seven', 'years', 'fined', '.']","['belonging', 'wandering', 'gang', 'persons', 'associated', 'purpose', 'habitually', 'committing', 'thefts']"
"Description of IPC Section 402
According to section 402 of Indian penal code, Whoever, at any time after the passing of this Act, shall be one of five or more persons assembled for the purpose of committing dacoity, shall be punished with rigorous imprisonment for a term which may extend to seven years, and shall also be liable to fine.


IPC 402 in Simple Words
If someone is part of a group of five or more people assembled for the purpose of committing dacoity (robbery), they can be punished with rigorous imprisonment for up to seven years and fined.",Being one of five or more persons assembled for the purpose of committing Dacoity,Rigorous Imprisonment for 7 Years + Fine,IPC_402,"['description', 'ipc', 'section', '402', 'according', 'section', '402', 'indian', 'penal', 'code', ',', 'whoever', ',', 'time', 'passing', 'act', ',', 'shall', 'one', 'five', 'persons', 'assembled', 'purpose', 'committing', 'dacoity', ',', 'shall', 'punished', 'rigorous', 'imprisonment', 'term', 'may', 'extend', 'seven', 'years', ',', 'shall', 'also', 'liable', 'fine', '.', 'ipc', '402', 'simple', 'words', 'someone', 'part', 'group', 'five', 'people', 'assembled', 'purpose', 'committing', 'dacoity', '(', 'robbery', ')', ',', 'punished', 'rigorous', 'imprisonment', 'seven', 'years', 'fined', '.']","['one', 'five', 'persons', 'assembled', 'purpose', 'committing', 'dacoity']"
"Description of IPC Section 403
According to section 403 of Indian penal code, Whoever dishonestly misappropriates or converts to his own use any movable property, shall be punished with imprisonment of either description for a term which may extend to two years, or with fine, or with both.


IPC 403 in Simple Words
If someone dishonestly takes or uses someone else's movable property, they can be punished with imprisonment for up to two years, or fined, or both.","Dishonest misappropriation of movable property, or converting it to oneâ€™s own use",2 Years or Fine or Both,IPC_403,"['description', 'ipc', 'section', '403', 'according', 'section', '403', 'indian', 'penal', 'code', ',', 'whoever', 'dishonestly', 'misappropriates', 'converts', 'use', 'movable', 'property', ',', 'shall', 'punished', 'imprisonment', 'either', 'description', 'term', 'may', 'extend', 'two', 'years', ',', 'fine', ',', '.', 'ipc', '403', 'simple', 'words', 'someone', 'dishonestly', 'takes', 'uses', 'someone', 'else', ""'s"", 'movable', 'property', ',', 'punished', 'imprisonment', 'two', 'years', ',', 'fined', ',', '.']","['dishonest', 'misappropriation', 'movable', 'property', ',', 'converting', 'oneâ€™s', 'use']"
"Description of IPC Section 404
According to section 404 of Indian penal code, Whoever dishonestly misappropriates or converts to his own use property, knowing that such property was in the possession of a deceased person at the time of that person’s decease, and has not since been in the possession of any person legally entitled to such possession, shall be punished with imprisonment of either description for a term which may extend to three years, and shall also be liable to fine, and if the offender at the time of such person’s decease was employed by him as a clerk or servant, the imprisonment may extend to seven years.


IPC 404 in Simple Words
If someone dishonestly takes and uses the property of a deceased person, knowing that it was left behind and not rightfully claimed by anyone else, they can be punished with imprisonment for up to three years and may also be fined; if they were employed by the deceased person, the imprisonment can be extended to seven years.","Dishonest misappropriation of property, knowing that it was in possession of a deceased person at his death, and that it has not since been in the possession of any person legally entitled to it",3 Years + Fine,IPC_404,"['description', 'ipc', 'section', '404', 'according', 'section', '404', 'indian', 'penal', 'code', ',', 'whoever', 'dishonestly', 'misappropriates', 'converts', 'use', 'property', ',', 'knowing', 'property', 'possession', 'deceased', 'person', 'time', 'person', '’', 'decease', ',', 'since', 'possession', 'person', 'legally', 'entitled', 'possession', ',', 'shall', 'punished', 'imprisonment', 'either', 'description', 'term', 'may', 'extend', 'three', 'years', ',', 'shall', 'also', 'liable', 'fine', ',', 'offender', 'time', 'person', '’', 'decease', 'employed', 'clerk', 'servant', ',', 'imprisonment', 'may', 'extend', 'seven', 'years', '.', 'ipc', '404', 'simple', 'words', 'someone', 'dishonestly', 'takes', 'uses', 'property', 'deceased', 'person', ',', 'knowing', 'left', 'behind', 'rightfully', 'claimed', 'anyone', 'else', ',', 'punished', 'imprisonment', 'three', 'years', 'may', 'also', 'fined', ';', 'employed', 'deceased', 'person', ',', 'imprisonment', 'extended', 'seven', 'years', '.']","['dishonest', 'misappropriation', 'property', ',', 'knowing', 'possession', 'deceased', 'person', 'death', ',', 'since', 'possession', 'person', 'legally', 'entitled']"
"Description of IPC Section 405
According to section 405 of Indian penal code, Whoever, being in any manner entrusted with property, or with any dominion over property, dishonestly misappropriates or converts to his own use that property, or dishonestly uses or disposes of that property in violation of any direction of law prescribing the mode in which such trust is to be discharged, or of any legal contract, express or implied, which he has made touching the discharge of such trust, or wilfully suffers any other person so to do, commits “criminal breach of trust”.


IPC 405 in Simple Words
When someone is entrusted with property but dishonestly misuses or converts it for their own benefit, it is considered ""criminal breach of trust"" according to section 405 of the Indian Penal Code.",,,IPC_405,"['description', 'ipc', 'section', '405', 'according', 'section', '405', 'indian', 'penal', 'code', ',', 'whoever', ',', 'manner', 'entrusted', 'property', ',', 'dominion', 'property', ',', 'dishonestly', 'misappropriates', 'converts', 'use', 'property', ',', 'dishonestly', 'uses', 'disposes', 'property', 'violation', 'direction', 'law', 'prescribing', 'mode', 'trust', 'discharged', ',', 'legal', 'contract', ',', 'express', 'implied', ',', 'made', 'touching', 'discharge', 'trust', ',', 'wilfully', 'suffers', 'person', ',', 'commits', '“', 'criminal', 'breach', 'trust', '”', '.', 'ipc', '405', 'simple', 'words', 'someone', 'entrusted', 'property', 'dishonestly', 'misuses', 'converts', 'benefit', ',', 'considered', '``', 'criminal', 'breach', 'trust', ""''"", 'according', 'section', '405', 'indian', 'penal', 'code', '.']",[]
"Description of IPC Section 406
According to section 406 of Indian penal code, Whoever commits criminal breach of trust shall be punished with imprisonment of either description for a term which may extend to three years, or with fine, or with both.


IPC 406 in Simple Words
Anyone who commits criminal breach of trust can be punished with imprisonment for up to three years, or a fine, or both.",Criminal breach of trust,3 Years or Fine or Both,IPC_406,"['description', 'ipc', 'section', '406', 'according', 'section', '406', 'indian', 'penal', 'code', ',', 'whoever', 'commits', 'criminal', 'breach', 'trust', 'shall', 'punished', 'imprisonment', 'either', 'description', 'term', 'may', 'extend', 'three', 'years', ',', 'fine', ',', '.', 'ipc', '406', 'simple', 'words', 'anyone', 'commits', 'criminal', 'breach', 'trust', 'punished', 'imprisonment', 'three', 'years', ',', 'fine', ',', '.']","['criminal', 'breach', 'trust']"
